cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
Ugx4yXCnj2EwazlGf2x4AaABAg,10 huta gumanoid didunia ini. Dunia akan musnah karena perang.,1 menit yang lalu,@strausssgirl6972,UCSra3ITJw3av95scOfePjag,0,,https://yt3.ggpht.com/MLkWr8RuFAywZ-JXXPAwfakcRIgyz-Mno73Ac4pVBytN-LQO8TUPCBWF0LDoQC3lkX5KmuU1=s88-c-k-c0x00ffffff-no-rj,False,False,1750265489.657251,
Ugzq0J9PWkPpENSd8yB4AaABAg,"Emang riba  menyengsarakan ,tapi bagaimana dengan saya ..udh bahagia liat kluarga dapat hidup layak punya rumah punya usaha ..tapi skrng buyar karena berhenti kerja..gak punya tabungan karena ya cicilan 4jt perbulan ke bank mandiri  ,skrng jadi gelap entah baru sadar pengetahuan dan kemampuan yg rendah.atau emang belum ada rezekinya  .saya ikhtiar skrng di tiktok affiliate di fokusin malah babak belur .dan nyoba jualan kaya sales ke toko"" mendadak tumpul .udh sebulan bisa di bilang katakan lah 0 penghasilan karena buat kebutuhan aja gak sampe sama sini .pertanyaan harus bagaimana lagi yg bisa di lakuin, gak mungkin saya jual rumah yg ngerubah anak istri yg udh hidup layak jadi ngontrak lagi. Ya ampun jadi mentok gini.  Saya nulis disini cuma ngelampiasin aja .siapa juga yg mau baca apalagi bantu. Gak ada yg kenal",3 menit yang lalu,@yogihamdani5732,UCq1GywWyqsUCKL14xtFbEgA,0,,https://yt3.ggpht.com/ytc/AIdro_lbCYlbm7O2ObX8Jywt7pXxc67uX-C2vARy9ei9-lbNNsU=s88-c-k-c0x00ffffff-no-rj,False,False,1750265369.663252,
Ugxl_CLf6mZo19_n8Zd4AaABAg,Terkesan Om Ded gk mau kalah pinter dg Bro Tim,3 menit yang lalu,@SusterAna,UCO2T5O00MWYJJbc9AAQGjZA,0,,https://yt3.ggpht.com/ytc/AIdro_kN0vHjIDhTA7B0t2l-8jw4du0Fp3Q4NWDxREtZ0wG6prM4O5dykKEJAxt14lhBl9HMMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750265369.666257,
UgyzX0RKcVquUhpq4Xl4AaABAg,Bangggaa bgnet sama timoti,4 menit yang lalu,@youkoudua4502,UC32fF0Sr-ovPRS5UngLQt9Q,0,,https://yt3.ggpht.com/Fl5FqGZ7cQWEG8hmKeHG5OOriHCfLnTpEeCdGEzGvrGo1FQoLaTZE-a8fZX4idjSZcgNSchKjw=s88-c-k-c0x00ffffff-no-rj,False,False,1750265309.669258,
UgwtGR91l5aUisszZFF4AaABAg,"Ronald klw ngomong yg enk2 nya ajh, lu mah enk lahir bukan dari enol 🤣",5 menit yang lalu,@justinbibirmonyong8371,UCiGLLfMAB50ZEYq9LmdgTWQ,0,,https://yt3.ggpht.com/cVbwJa7NPShwN3DdAMvDp33kXq7IoUu_y9UVtd3vd2bfK_22tWNlkPlVwwDt2kPJTMPSE8ij5g=s88-c-k-c0x00ffffff-no-rj,False,False,1750265249.672256,
UgyxAtIDfjMK2gQwUat4AaABAg,"Ini obrolan isi daging, buat menyupport kalangan bawah untuk dirinya harus berkembang. Keren  sih orang berdua ini, obrolanya slalu nyambung tanpa putus👏",7 menit yang lalu,@muis_ar_official9513,UCMDrzoUjFjfbzEePKzDlKLQ,0,,https://yt3.ggpht.com/ELJS-JwAsmb81L3lAxEHanyOacwz2LfRznO6Ey9BvicoLfvDXLH4LQIyUMSvn0uR5e14DMhktQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750265129.675257,
UgwswYaeU5DMeAUzQsp4AaABAg,Lebih mudah pakai genzutsu dari clan uciha,11 menit yang lalu,@countertukangbaper,UCTe5XTnJCfCIOuvUMzhVEFg,0,,https://yt3.ggpht.com/za5wVl2QRkzzsu4uVDJfuFfW2SRiqbBX-Xy_XgQNHu-NcFXK2m-gtLVWkUZjszIiV8QLaSvn=s88-c-k-c0x00ffffff-no-rj,False,False,1750264889.678257,
UgzX7R1LiUPpLYkwp9B4AaABAg,"pendidikan yang harusnya ditanggung negara, tapi ini ditanggung individu, ya gimana ga berat, terharu, ya wajar lah kalo pesimis, negara gitu2 aja perkembangannya padahal kepalanya lebih banyak dari timothy ronald",12 menit yang lalu,@kiki-id5nz,UC2_157h2qT5WyRBCdsbI2yw,0,,https://yt3.ggpht.com/LVc4FY63DiCcEgKP8RXLDM2oXmbRv9dfqbHi1ftcPOPxmzQQo19VuNhzXCMj_XNxfX9nu9Ib=s88-c-k-c0x00ffffff-no-rj,False,False,1750264829.682261,
Ugye6gCy6MGwYJIlhVx4AaABAg,Semangat terus,13 menit yang lalu,@akmalzain01,UCHt-OKx_rOiXop5tslZMXSw,0,,https://yt3.ggpht.com/PuWjT_iXyB_blGl-bJ20q68Ef26tMb-Xc-acLGA5kQyiqeYyVMD8iZxFQMG2Z5TRUwO2R9yvy7E=s88-c-k-c0x00ffffff-no-rj,False,False,1750264769.685262,
Ugz3P4TJfkA1SjvH-J14AaABAg,46:39 🎉,14 menit yang lalu,@Bangbro95,UCL8bDXe2e568Mgw2_4uGtSQ,0,,https://yt3.ggpht.com/tK0PeDYiL18Y0X4vATUPJqnX284FYnLe4NI1uGJXf0D5mW05voXYeQiBnJO34rqr4ybhsxax=s88-c-k-c0x00ffffff-no-rj,False,False,1750264709.690266,
